Heart Rate,Skin Temperature,Blink Rate,Time of Day,Mood,Score
72.84929311019684,36.722122594590914,19.032228331891357,Night,Happy,8.003256976593665
69.54608083226563,35.62666248004865,11.634196685769563,Morning,Sad,24.2329811453739
97.98391846566304,38.02262550743654,34.686636459104385,Afternoon,Stressed,77.36793464792507
72.68242525933941,36.7174844908545,20.9849025280163,Evening,Happy,52.86858536788197
70.31687424785466,35.94916522875499,10.210934621727223,Afternoon,Sad,92.79690617870448
62.00753191641832,35.886816538234896,11.616588172205727,Evening,Sad,42.87514083413543
61.808280699284985,35.63969095017692,13.550558792590845,Afternoon,Sad,86.98123658139231
66.70058853202322,35.83353848616877,15.93068292344417,Afternoon,Sad,44.89554374782375
69.7016081027044,35.65019733327743,14.671311794289124,Afternoon,Sad,97.92482787019853
79.03819517609439,37.06449192708483,18.774422619031228,Evening,Happy,95.98343813988768
74.46518206955831,36.08579548221674,,Night,Sad,32.913670555608036
,36.12794874567591,12.077454040739223,Afternoon,Sad,88.59236704168032
70.12370167113,36.426088442475994,12.252783988858434,Morning,Relaxed,84.76113742156492
83.69233289997705,36.57545403903303,,Afternoon,Happy,21.068039732756283
75.80391238388681,36.188230346671965,20.444267543267426,Morning,Happy,62.42904007832697
90.15371235996035,37.204591450632094,24.65019921703709,Afternoon,Stressed,7.268231558981486
57.01144040113296,36.47474890907406,15.929390095937817,Night,Sad,83.67107205834617
80.99529847786735,37.13796950886432,20.0760069563364,Evening,Happy,17.454588350349653
74.01896687959665,36.28898526819345,20.393109553023148,Evening,Happy,7.081470138576451
103.81183343042007,36.827208299947515,36.02337219996852,Morning,Stressed,40.021909553881116
,35.60337020401654,10.292120583224614,Night,Sad,57.69221385996435
105.77651309529143,38.1411817370578,34.104834421842,Afternoon,Stressed,85.4916958559771
66.51166870881667,36.27407843753376,10.310567076487809,Night,Sad,97.42425255217366
87.0139715546805,36.742898396574915,,Afternoon,Happy,43.949251256986365
82.97578512718457,36.89783990667263,20.95408165444624,Afternoon,Happy,6.044692298527021
113.1994885054967,37.33608823682865,30.510374581236917,Evening,Stressed,74.91155790258706
68.45847039574929,36.28024169485182,13.420352071737703,Morning,Relaxed,56.51732562239374
94.44801765712623,37.67488476030303,25.108388962040287,Evening,Stressed,44.789134484446315
105.35825238417569,36.58196400624873,31.958353078076357,Morning,Stressed,30.926887879218967
70.01749226776433,36.10251867442213,6.360138135993158,Morning,Sad,50.239852784353566
81.87849009172837,36.80157310991545,,Evening,Happy,33.86796044570309
75.89658840824144,37.10188784276433,23.15490655952695,Night,Happy,75.70118677473603
63.415891193541015,35.870022034953735,10.185479906477756,Evening,Sad,54.38936964926411
64.94942044265544,36.512748369893465,9.725717238927555,Afternoon,Sad,87.68477741541119
,37.04882167435505,20.486678898645383,Evening,Happy,54.35439146494421
65.54947775504745,36.12028620434912,18.652900769198162,Afternoon,Relaxed,23.826241333993003
88.126156879093,37.46586118868033,36.95366243795771,Afternoon,Stressed,85.10918822321445
63.10198085570086,36.449332002983624,15.713694566406426,Night,Relaxed,55.721904493004395
88.23170783612989,37.53793869497991,33.92906004648405,Evening,Stressed,20.684103814356124
93.33778515289849,37.358556639740186,33.87711866544687,Afternoon,Stressed,62.350780995622216
,37.85144089929756,30.45550433303061,Afternoon,Stressed,35.771676494242755
83.05838144420434,37.11752734605487,19.075449422589916,Morning,Happy,84.44056122920658
63.505866462406374,36.445852502303076,14.914776413120507,Night,Relaxed,45.329973864654285
78.39307079173503,36.63652427395731,20.477578318053027,Night,Happy,72.64413581074167
